% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	8	11	10	1	18	133	0
0.109	1	1	11	10	2	18	133	0
0.109	1	2	11	10	3	20	161	0
0.109	1	5	11	10	4	22	173	0
0.109	1	3	11	10	7	28	277	0
0.109	1	6	11	10	8	28	277	0
0.109	1	10	11	10	9	6	32	0
0.109	1	4	11	10	10	28	277	0
0.109	1	8	11	10	1	18	133	1
0.109	1	1	11	10	2	18	133	1
0.109	1	2	11	10	3	20	161	1
0.109	1	5	11	10	4	22	173	1
0.109	1	3	11	10	7	28	277	1
0.109	1	6	11	10	8	28	277	1
0.109	1	10	11	10	9	6	32	1
0.109	1	4	11	10	10	28	277	1
0.11	1	10	12	1	9	22	469	0
0.11	1	9	12	1	13	14	253	0
0.11	1	7	12	1	14	4	69	0
0.11	1	10	12	1	9	22	469	1
0.11	1	9	12	1	13	14	253	1
0.11	1	7	12	1	14	4	69	1
1.152	1	9	116	3	13	10	549	0
1.152	1	9	116	3	13	10	549	1
1.154	1	7	116	5	14	6	325	0
1.154	1	7	116	5	14	6	325	1
3.109	1	6	311	10	8	2	137	0
3.109	1	6	311	10	8	2	137	1
9.109	1	6	911	10	8	18	1143	0
9.109	1	6	911	10	8	18	1143	1
