% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	8	437	0	1	0
115	2	1	1	0	8	437	0	1	1
130	1	1	1	0	10	549	0	1	0
130	2	1	1	0	10	549	0	1	1
131	1	1	1	0	10	549	0	1	0
131	2	1	1	0	10	549	0	1	1
132	1	1	1	0	10	549	0	1	0
132	2	1	1	0	10	549	0	1	1
145	1	1	1	0	10	549	0	1	0
145	2	1	1	0	10	549	0	1	1
146	1	1	1	0	10	549	0	1	0
146	2	1	1	0	10	549	0	1	1
147	1	1	1	0	10	549	0	1	0
147	2	1	1	0	10	549	0	1	1
165	1	1	1	0	10	549	0	1	0
165	2	1	1	0	10	549	0	1	1
180	1	1	1	0	22	1431	0	1	0
180	2	1	1	0	22	1431	0	1	1
181	1	1	1	0	22	1431	0	1	0
181	2	1	1	0	22	1431	0	1	1
182	1	1	1	0	22	1431	0	1	0
182	2	1	1	0	22	1431	0	1	1
183	1	1	1	0	22	1431	0	1	0
183	2	1	1	0	22	1431	0	1	1
195	1	1	1	0	22	1431	0	1	0
195	2	1	1	0	22	1431	0	1	1
196	1	1	1	0	22	1431	0	1	0
196	2	1	1	0	22	1431	0	1	1
197	1	1	1	0	22	1431	0	1	0
197	2	1	1	0	22	1431	0	1	1
211	1	1	1	0	24	1692	0	1	0
211	2	1	1	0	24	1692	0	1	1
212	1	1	1	0	24	1692	0	1	0
212	2	1	1	0	24	1692	0	1	1
213	1	1	1	0	24	1692	0	1	0
213	2	1	1	0	24	1692	0	1	1
226	1	1	1	0	24	1692	0	1	0
226	2	1	1	0	24	1692	0	1	1
227	1	1	1	0	24	1692	0	1	0
227	2	1	1	0	24	1692	0	1	1
228	1	1	1	0	24	1692	0	1	0
228	2	1	1	0	24	1692	0	1	1
241	1	1	1	0	24	1692	0	1	0
241	2	1	1	0	24	1692	0	1	1
242	1	1	1	0	24	1692	0	1	0
242	2	1	1	0	24	1692	0	1	1
243	1	1	1	0	24	1692	0	1	0
243	2	1	1	0	24	1692	0	1	1
257	1	1	1	0	28	2292	0	1	0
257	2	1	1	0	28	2292	0	1	1
258	1	1	1	0	28	2292	0	1	0
258	2	1	1	0	28	2292	0	1	1
259	1	1	1	0	28	2292	0	1	0
259	2	1	1	0	28	2292	0	1	1
272	1	1	1	0	28	2292	0	1	0
272	2	1	1	0	28	2292	0	1	1
273	1	1	1	0	28	2292	0	1	0
273	2	1	1	0	28	2292	0	1	1
274	1	1	1	0	28	2292	0	1	0
274	2	1	1	0	28	2292	0	1	1
291	1	1	1	0	16	967	0	1	0
291	2	1	1	0	16	967	0	1	1
306	1	1	1	0	16	967	0	1	0
306	2	1	1	0	16	967	0	1	1
307	1	1	1	0	16	967	0	1	0
307	2	1	1	0	16	967	0	1	1
308	1	1	1	0	16	967	0	1	0
308	2	1	1	0	16	967	0	1	1
322	1	1	1	0	16	967	0	1	0
322	2	1	1	0	16	967	0	1	1
323	1	1	1	0	16	967	0	1	0
323	2	1	1	0	16	967	0	1	1
324	1	1	1	0	16	967	0	1	0
324	2	1	1	0	16	967	0	1	1
338	1	1	1	0	18	1143	0	1	0
338	2	1	1	0	18	1143	0	1	1
339	1	1	1	0	18	1143	0	1	0
339	2	1	1	0	18	1143	0	1	1
353	1	1	1	0	18	1143	0	1	0
353	2	1	1	0	18	1143	0	1	1
354	1	1	1	0	18	1143	0	1	0
354	2	1	1	0	18	1143	0	1	1
355	1	1	1	0	18	1143	0	1	0
355	2	1	1	0	18	1143	0	1	1
368	1	1	1	0	22	1431	0	1	0
368	2	1	1	0	22	1431	0	1	1
369	1	1	1	0	22	1431	0	1	0
369	2	1	1	0	22	1431	0	1	1
370	1	1	1	0	22	1431	0	1	0
370	2	1	1	0	22	1431	0	1	1
383	1	1	1	0	22	1431	0	1	0
383	2	1	1	0	22	1431	0	1	1
384	1	1	1	0	22	1431	0	1	0
384	2	1	1	0	22	1431	0	1	1
385	1	1	1	0	22	1431	0	1	0
385	2	1	1	0	22	1431	0	1	1
399	1	1	1	0	22	1431	0	1	0
399	2	1	1	0	22	1431	0	1	1
400	1	1	1	0	22	1431	0	1	0
400	2	1	1	0	22	1431	0	1	1
401	1	1	1	0	22	1431	0	1	0
401	2	1	1	0	22	1431	0	1	1
414	1	1	1	0	26	1908	0	1	0
414	2	1	1	0	26	1908	0	1	1
415	1	1	1	0	26	1908	0	1	0
415	2	1	1	0	26	1908	0	1	1
416	1	1	1	0	26	1908	0	1	0
416	2	1	1	0	26	1908	0	1	1
429	1	1	1	0	26	1908	0	1	0
429	2	1	1	0	26	1908	0	1	1
430	1	1	1	0	26	1908	0	1	0
430	2	1	1	0	26	1908	0	1	1
431	1	1	1	0	26	1908	0	1	0
431	2	1	1	0	26	1908	0	1	1
444	1	1	1	0	26	1908	0	1	0
444	2	1	1	0	26	1908	0	1	1
445	1	1	1	0	26	1908	0	1	0
445	2	1	1	0	26	1908	0	1	1
446	1	1	1	0	26	1908	0	1	0
446	2	1	1	0	26	1908	0	1	1
459	1	1	1	0	22	1431	0	1	0
459	2	1	1	0	22	1431	0	1	1
1180	1	1	1	0	14	807	0	1	0
1180	2	1	1	0	14	807	0	1	1
1197	1	1	1	0	14	807	0	1	0
1197	2	1	1	0	14	807	0	1	1
1215	1	1	1	0	20	1335	0	1	0
1215	2	1	1	0	20	1335	0	1	1
1231	1	1	1	0	20	1335	0	1	0
1231	2	1	1	0	20	1335	0	1	1
1232	1	1	1	0	20	1335	0	1	0
1232	2	1	1	0	20	1335	0	1	1
1248	1	1	1	0	16	967	0	1	0
1248	2	1	1	0	16	967	0	1	1
1249	1	1	1	0	16	967	0	1	0
1249	2	1	1	0	16	967	0	1	1
1264	1	1	1	0	16	967	0	1	0
1264	2	1	1	0	16	967	0	1	1
1265	1	1	1	0	16	967	0	1	0
1265	2	1	1	0	16	967	0	1	1
1266	1	1	1	0	16	967	0	1	0
1266	2	1	1	0	16	967	0	1	1
1279	1	1	1	0	16	967	0	1	0
1279	2	1	1	0	16	967	0	1	1
1280	1	1	1	0	16	967	0	1	0
1280	2	1	1	0	16	967	0	1	1
1281	1	1	1	0	16	967	0	1	0
1281	2	1	1	0	16	967	0	1	1
1294	1	1	1	0	28	2292	0	1	0
1294	2	1	1	0	28	2292	0	1	1
1295	1	1	1	0	28	2292	0	1	0
1295	2	1	1	0	28	2292	0	1	1
1296	1	1	1	0	28	2292	0	1	0
1296	2	1	1	0	28	2292	0	1	1
1313	1	1	1	0	28	2292	0	1	0
1313	2	1	1	0	28	2292	0	1	1
1314	1	1	1	0	28	2292	0	1	0
1314	2	1	1	0	28	2292	0	1	1
1328	1	1	1	0	24	1692	0	1	0
1328	2	1	1	0	24	1692	0	1	1
1329	1	1	1	0	24	1692	0	1	0
1329	2	1	1	0	24	1692	0	1	1
1330	1	1	1	0	24	1692	0	1	0
1330	2	1	1	0	24	1692	0	1	1
1344	1	1	1	0	24	1692	0	1	0
1344	2	1	1	0	24	1692	0	1	1
1345	1	1	1	0	24	1692	0	1	0
1345	2	1	1	0	24	1692	0	1	1
1359	1	1	1	0	24	1692	0	1	0
1359	2	1	1	0	24	1692	0	1	1
1360	1	1	1	0	24	1692	0	1	0
1360	2	1	1	0	24	1692	0	1	1
1374	1	1	1	0	24	1692	0	1	0
1374	2	1	1	0	24	1692	0	1	1
1375	1	1	1	0	24	1692	0	1	0
1375	2	1	1	0	24	1692	0	1	1
1376	1	1	1	0	24	1692	0	1	0
1376	2	1	1	0	24	1692	0	1	1
