% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	28	277	0
0.109	1	4	11	10	2	28	277	0
0.109	1	2	11	10	3	28	277	0
0.109	1	6	11	10	4	28	277	0
0.109	1	7	11	10	9	28	277	0
0.109	1	8	11	10	10	28	277	0
0.109	1	5	11	10	11	28	277	0
0.109	1	3	11	10	12	28	277	0
0.109	1	1	11	10	1	28	277	1
0.109	1	4	11	10	2	28	277	1
0.109	1	2	11	10	3	28	277	1
0.109	1	6	11	10	4	28	277	1
0.109	1	7	11	10	9	28	277	1
0.109	1	8	11	10	10	28	277	1
0.109	1	5	11	10	11	28	277	1
0.109	1	3	11	10	12	28	277	1
0.11	1	10	12	1	15	28	1095	0
0.11	1	9	12	1	16	22	693	0
0.11	1	10	12	1	15	28	1095	1
0.11	1	9	12	1	16	22	693	1
0.147	1	7	15	8	9	28	2292	0
0.147	1	7	15	8	9	28	2292	1
0.15	1	6	16	1	4	28	2292	0
0.15	1	6	16	1	4	28	2292	1
0.151	1	4	16	2	2	24	1692	0
0.151	1	4	16	2	2	24	1692	1
3.151	1	2	316	2	3	28	2292	0
3.151	1	2	316	2	3	28	2292	1
6.39	1	2	640	1	3	28	2292	0
6.39	1	2	640	1	3	28	2292	1
7.63	1	2	764	1	3	22	1431	0
7.63	1	2	764	1	3	22	1431	1
8.874	1	2	888	5	3	8	437	0
8.874	1	2	888	5	3	8	437	1
