% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	2	0	24	807	0	1	0
115	1	2	1	0	28	1095	0	1	0
115	2	1	2	0	24	807	0	1	1
115	2	2	1	0	28	1095	0	1	1
130	1	1	2	0	2	137	0	1	0
130	2	1	2	0	2	137	0	1	1
131	1	1	2	0	2	137	0	1	0
131	2	1	2	0	2	137	0	1	1
132	1	1	2	0	2	137	0	1	0
132	2	1	2	0	2	137	0	1	1
133	1	2	1	0	28	2292	0	1	0
133	2	2	1	0	28	2292	0	1	1
135	1	2	1	0	28	2292	0	1	0
135	2	2	1	0	28	2292	0	1	1
137	1	2	1	0	28	2292	0	1	0
137	2	2	1	0	28	2292	0	1	1
146	1	1	2	0	2	137	0	1	0
146	2	1	2	0	2	137	0	1	1
147	1	1	2	0	2	137	0	1	0
147	2	1	2	0	2	137	0	1	1
148	1	1	2	0	26	903	0	1	0
148	1	2	1	0	28	1095	0	1	0
148	2	1	2	0	26	903	0	1	1
148	2	2	1	0	28	1095	0	1	1
149	1	1	2	0	26	903	0	1	0
149	1	2	1	0	28	1095	0	1	0
149	2	1	2	0	26	903	0	1	1
149	2	2	1	0	28	1095	0	1	1
150	1	2	1	0	28	2292	0	1	0
150	2	2	1	0	28	2292	0	1	1
151	1	1	2	0	2	137	0	1	0
151	2	1	2	0	2	137	0	1	1
152	1	1	2	0	2	137	0	1	0
152	2	1	2	0	2	137	0	1	1
161	1	1	2	0	2	137	0	1	0
161	2	1	2	0	2	137	0	1	1
162	1	1	2	0	2	137	0	1	0
162	2	1	2	0	2	137	0	1	1
163	1	1	2	0	2	137	0	1	0
163	2	1	2	0	2	137	0	1	1
164	1	1	2	0	26	903	0	1	0
164	1	2	1	0	28	1095	0	1	0
164	2	1	2	0	26	903	0	1	1
164	2	2	1	0	28	1095	0	1	1
165	1	1	2	0	2	137	0	1	0
165	2	1	2	0	2	137	0	1	1
166	1	1	2	0	26	903	0	1	0
166	1	2	1	0	28	1095	0	1	0
166	2	1	2	0	26	903	0	1	1
166	2	2	1	0	28	1095	0	1	1
177	1	1	2	0	14	807	0	1	0
177	2	1	2	0	14	807	0	1	1
179	1	1	2	0	14	807	0	1	0
179	2	1	2	0	14	807	0	1	1
180	1	2	1	0	28	2292	0	1	0
180	2	2	1	0	28	2292	0	1	1
181	1	1	2	0	14	807	0	1	0
181	2	1	2	0	14	807	0	1	1
182	1	2	1	0	28	2292	0	1	0
182	2	2	1	0	28	2292	0	1	1
193	1	1	2	0	14	807	0	1	0
193	2	1	2	0	14	807	0	1	1
195	1	1	2	0	14	807	0	1	0
195	2	1	2	0	14	807	0	1	1
196	1	2	1	0	28	2292	0	1	0
196	2	2	1	0	28	2292	0	1	1
197	1	1	2	0	14	807	0	1	0
197	2	1	2	0	14	807	0	1	1
198	1	2	1	0	28	2292	0	1	0
198	2	2	1	0	28	2292	0	1	1
200	1	2	1	0	28	2292	0	1	0
200	2	2	1	0	28	2292	0	1	1
209	1	1	2	0	28	2292	0	1	0
209	2	1	2	0	28	2292	0	1	1
211	1	1	2	0	28	2292	0	1	0
211	2	1	2	0	28	2292	0	1	1
212	1	2	1	0	28	2292	0	1	0
212	2	2	1	0	28	2292	0	1	1
214	1	2	1	0	28	2292	0	1	0
214	2	2	1	0	28	2292	0	1	1
216	1	2	1	0	28	2292	0	1	0
216	2	2	1	0	28	2292	0	1	1
225	1	1	2	0	28	2292	0	1	0
225	2	1	2	0	28	2292	0	1	1
227	1	1	2	0	28	1095	0	1	0
227	1	2	1	0	28	1095	0	1	0
227	2	1	2	0	28	1095	0	1	1
227	2	2	1	0	28	1095	0	1	1
228	1	1	2	0	28	2292	0	1	0
228	2	1	2	0	28	2292	0	1	1
229	1	2	1	0	28	2292	0	1	0
229	2	2	1	0	28	2292	0	1	1
231	1	2	1	0	28	2292	0	1	0
231	2	2	1	0	28	2292	0	1	1
240	1	1	2	0	28	2292	0	1	0
240	2	1	2	0	28	2292	0	1	1
241	1	1	2	0	28	2292	0	1	0
241	2	1	2	0	28	2292	0	1	1
242	1	1	2	0	28	2292	0	1	0
242	2	1	2	0	28	2292	0	1	1
251	1	2	1	0	28	2292	0	1	0
251	2	2	1	0	28	2292	0	1	1
252	1	2	1	0	28	2292	0	1	0
252	2	2	1	0	28	2292	0	1	1
256	1	1	2	0	26	1908	0	1	0
256	2	1	2	0	26	1908	0	1	1
257	1	1	2	0	26	1908	0	1	0
257	2	1	2	0	26	1908	0	1	1
