% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	20	1335	0	1	0
115	2	1	1	0	20	1335	0	1	1
130	1	1	1	0	12	621	0	1	0
130	2	1	1	0	12	621	0	1	1
131	1	1	1	0	12	621	0	1	0
131	2	1	1	0	12	621	0	1	1
132	1	1	1	0	12	621	0	1	0
132	2	1	1	0	12	621	0	1	1
146	1	1	1	0	12	621	0	1	0
146	2	1	1	0	12	621	0	1	1
147	1	1	1	0	12	621	0	1	0
147	2	1	1	0	12	621	0	1	1
148	1	1	1	0	12	621	0	1	0
148	2	1	1	0	12	621	0	1	1
161	1	1	1	0	12	621	0	1	0
161	2	1	1	0	12	621	0	1	1
162	1	1	1	0	12	621	0	1	0
162	2	1	1	0	12	621	0	1	1
163	1	1	1	0	12	621	0	1	0
163	2	1	1	0	12	621	0	1	1
177	1	1	1	0	12	621	0	1	0
177	2	1	1	0	12	621	0	1	1
178	1	1	1	0	12	621	0	1	0
178	2	1	1	0	12	621	0	1	1
179	1	1	1	0	12	621	0	1	0
179	2	1	1	0	12	621	0	1	1
194	1	1	1	0	12	621	0	1	0
194	2	1	1	0	12	621	0	1	1
195	1	1	1	0	12	621	0	1	0
195	2	1	1	0	12	621	0	1	1
197	1	1	1	0	12	621	0	1	0
197	2	1	1	0	12	621	0	1	1
214	1	1	1	0	28	2292	0	1	0
214	2	1	1	0	28	2292	0	1	1
230	1	1	1	0	28	2292	0	1	0
230	2	1	1	0	28	2292	0	1	1
232	1	1	1	0	28	2292	0	1	0
232	2	1	1	0	28	2292	0	1	1
233	1	1	1	0	28	2292	0	1	0
233	2	1	1	0	28	2292	0	1	1
234	1	1	1	0	28	2292	0	1	0
234	2	1	1	0	28	2292	0	1	1
245	1	1	1	0	28	2292	0	1	0
245	2	1	1	0	28	2292	0	1	1
247	1	1	1	0	28	2292	0	1	0
247	2	1	1	0	28	2292	0	1	1
248	1	1	1	0	28	2292	0	1	0
248	2	1	1	0	28	2292	0	1	1
260	1	1	1	0	28	2292	0	1	0
260	2	1	1	0	28	2292	0	1	1
261	1	1	1	0	28	2292	0	1	0
261	2	1	1	0	28	2292	0	1	1
262	1	1	1	0	28	2292	0	1	0
262	2	1	1	0	28	2292	0	1	1
275	1	1	1	0	28	2292	0	1	0
275	2	1	1	0	28	2292	0	1	1
276	1	1	1	0	28	2292	0	1	0
276	2	1	1	0	28	2292	0	1	1
277	1	1	1	0	28	2292	0	1	0
277	2	1	1	0	28	2292	0	1	1
278	1	1	1	0	28	2292	0	1	0
278	2	1	1	0	28	2292	0	1	1
291	1	1	1	0	20	1335	0	1	0
291	2	1	1	0	20	1335	0	1	1
292	1	1	1	0	20	1335	0	1	0
292	2	1	1	0	20	1335	0	1	1
293	1	1	1	0	20	1335	0	1	0
293	2	1	1	0	20	1335	0	1	1
294	1	1	1	0	20	1335	0	1	0
294	2	1	1	0	20	1335	0	1	1
307	1	1	1	0	20	1335	0	1	0
307	2	1	1	0	20	1335	0	1	1
309	1	1	1	0	20	1335	0	1	0
309	2	1	1	0	20	1335	0	1	1
310	1	1	1	0	20	1335	0	1	0
310	2	1	1	0	20	1335	0	1	1
311	1	1	1	0	20	1335	0	1	0
311	2	1	1	0	20	1335	0	1	1
323	1	1	1	0	20	1335	0	1	0
323	2	1	1	0	20	1335	0	1	1
324	1	1	1	0	20	1335	0	1	0
324	2	1	1	0	20	1335	0	1	1
325	1	1	1	0	20	1335	0	1	0
325	2	1	1	0	20	1335	0	1	1
338	1	1	1	0	26	1908	0	1	0
338	2	1	1	0	26	1908	0	1	1
339	1	1	1	0	26	1908	0	1	0
339	2	1	1	0	26	1908	0	1	1
340	1	1	1	0	26	1908	0	1	0
340	2	1	1	0	26	1908	0	1	1
341	1	1	1	0	26	1908	0	1	0
341	2	1	1	0	26	1908	0	1	1
355	1	1	1	0	26	1908	0	1	0
355	2	1	1	0	26	1908	0	1	1
356	1	1	1	0	26	1908	0	1	0
356	2	1	1	0	26	1908	0	1	1
357	1	1	1	0	26	1908	0	1	0
357	2	1	1	0	26	1908	0	1	1
371	1	1	1	0	20	1335	0	1	0
371	2	1	1	0	20	1335	0	1	1
372	1	1	1	0	20	1335	0	1	0
372	2	1	1	0	20	1335	0	1	1
373	1	1	1	0	20	1335	0	1	0
373	2	1	1	0	20	1335	0	1	1
387	1	1	1	0	20	1335	0	1	0
387	2	1	1	0	20	1335	0	1	1
388	1	1	1	0	20	1335	0	1	0
388	2	1	1	0	20	1335	0	1	1
389	1	1	1	0	20	1335	0	1	0
389	2	1	1	0	20	1335	0	1	1
404	1	1	1	0	20	1335	0	1	0
404	2	1	1	0	20	1335	0	1	1
405	1	1	1	0	20	1335	0	1	0
405	2	1	1	0	20	1335	0	1	1
420	1	1	1	0	22	1431	0	1	0
420	2	1	1	0	22	1431	0	1	1
421	1	1	1	0	22	1431	0	1	0
421	2	1	1	0	22	1431	0	1	1
423	1	1	1	0	22	1431	0	1	0
423	2	1	1	0	22	1431	0	1	1
435	1	1	1	0	22	1431	0	1	0
435	2	1	1	0	22	1431	0	1	1
436	1	1	1	0	22	1431	0	1	0
436	2	1	1	0	22	1431	0	1	1
437	1	1	1	0	22	1431	0	1	0
437	2	1	1	0	22	1431	0	1	1
451	1	1	1	0	16	967	0	1	0
451	2	1	1	0	16	967	0	1	1
452	1	1	1	0	16	967	0	1	0
452	2	1	1	0	16	967	0	1	1
466	1	1	1	0	16	967	0	1	0
466	2	1	1	0	16	967	0	1	1
1177	1	1	1	0	18	1143	0	1	0
1177	2	1	1	0	18	1143	0	1	1
1192	1	1	1	0	18	1143	0	1	0
1192	2	1	1	0	18	1143	0	1	1
1208	1	1	1	0	14	807	0	1	0
1208	2	1	1	0	14	807	0	1	1
1224	1	1	1	0	14	807	0	1	0
1224	2	1	1	0	14	807	0	1	1
1241	1	1	1	0	14	807	0	1	0
1241	2	1	1	0	14	807	0	1	1
1243	1	1	1	0	14	807	0	1	0
1243	2	1	1	0	14	807	0	1	1
1256	1	1	1	0	16	967	0	1	0
1256	2	1	1	0	16	967	0	1	1
1257	1	1	1	0	16	967	0	1	0
1257	2	1	1	0	16	967	0	1	1
1258	1	1	1	0	16	967	0	1	0
1258	2	1	1	0	16	967	0	1	1
1271	1	1	1	0	16	967	0	1	0
1271	2	1	1	0	16	967	0	1	1
1272	1	1	1	0	16	967	0	1	0
1272	2	1	1	0	16	967	0	1	1
1287	1	1	1	0	22	1431	0	1	0
1287	2	1	1	0	22	1431	0	1	1
1289	1	1	1	0	22	1431	0	1	0
1289	2	1	1	0	22	1431	0	1	1
1304	1	1	1	0	22	1431	0	1	0
1304	2	1	1	0	22	1431	0	1	1
1305	1	1	1	0	22	1431	0	1	0
1305	2	1	1	0	22	1431	0	1	1
1320	1	1	1	0	22	1431	0	1	0
1320	2	1	1	0	22	1431	0	1	1
1321	1	1	1	0	22	1431	0	1	0
1321	2	1	1	0	22	1431	0	1	1
1336	1	1	1	0	8	437	0	1	0
1336	2	1	1	0	8	437	0	1	1
1337	1	1	1	0	8	437	0	1	0
1337	2	1	1	0	8	437	0	1	1
1338	1	1	1	0	8	437	0	1	0
1338	2	1	1	0	8	437	0	1	1
1352	1	1	1	0	8	437	0	1	0
1352	2	1	1	0	8	437	0	1	1
1353	1	1	1	0	8	437	0	1	0
1353	2	1	1	0	8	437	0	1	1
1369	1	1	1	0	24	1692	0	1	0
1369	2	1	1	0	24	1692	0	1	1
1370	1	1	1	0	24	1692	0	1	0
1370	2	1	1	0	24	1692	0	1	1
1391	1	1	1	0	24	1692	0	1	0
1391	2	1	1	0	24	1692	0	1	1
1392	1	1	1	0	24	1692	0	1	0
1392	2	1	1	0	24	1692	0	1	1
1407	1	1	1	0	20	1335	0	1	0
1407	2	1	1	0	20	1335	0	1	1
1408	1	1	1	0	20	1335	0	1	0
1408	2	1	1	0	20	1335	0	1	1
1409	1	1	1	0	20	1335	0	1	0
1409	2	1	1	0	20	1335	0	1	1
1423	1	1	1	0	20	1335	0	1	0
1423	2	1	1	0	20	1335	0	1	1
1425	1	1	1	0	20	1335	0	1	0
1425	2	1	1	0	20	1335	0	1	1
1438	1	1	1	0	20	1335	0	1	0
1438	2	1	1	0	20	1335	0	1	1
1439	1	1	1	0	20	1335	0	1	0
1439	2	1	1	0	20	1335	0	1	1
1441	1	1	1	0	20	1335	0	1	0
1441	2	1	1	0	20	1335	0	1	1
1442	1	1	1	0	20	1335	0	1	0
1442	2	1	1	0	20	1335	0	1	1
1443	1	1	1	0	20	1335	0	1	0
1443	2	1	1	0	20	1335	0	1	1
1454	1	1	1	0	22	1431	0	1	0
1454	2	1	1	0	22	1431	0	1	1
1455	1	1	1	0	22	1431	0	1	0
1455	2	1	1	0	22	1431	0	1	1
1469	1	1	1	0	22	1431	0	1	0
1469	2	1	1	0	22	1431	0	1	1
1470	1	1	1	0	22	1431	0	1	0
1470	2	1	1	0	22	1431	0	1	1
1471	1	1	1	0	22	1431	0	1	0
1471	2	1	1	0	22	1431	0	1	1
1484	1	1	1	0	22	1431	0	1	0
1484	2	1	1	0	22	1431	0	1	1
1485	1	1	1	0	22	1431	0	1	0
1485	2	1	1	0	22	1431	0	1	1
1486	1	1	1	0	22	1431	0	1	0
1486	2	1	1	0	22	1431	0	1	1
1500	1	1	1	0	20	1335	0	1	0
1500	2	1	1	0	20	1335	0	1	1
1501	1	1	1	0	20	1335	0	1	0
1501	2	1	1	0	20	1335	0	1	1
1516	1	1	1	0	20	1335	0	1	0
1516	2	1	1	0	20	1335	0	1	1
1517	1	1	1	0	20	1335	0	1	0
1517	2	1	1	0	20	1335	0	1	1
1532	1	1	1	0	24	1692	0	1	0
1532	2	1	1	0	24	1692	0	1	1
1533	1	1	1	0	24	1692	0	1	0
1533	2	1	1	0	24	1692	0	1	1
1550	1	1	1	0	24	1692	0	1	0
1550	2	1	1	0	24	1692	0	1	1
1551	1	1	1	0	24	1692	0	1	0
1551	2	1	1	0	24	1692	0	1	1
1565	1	1	1	0	24	1692	0	1	0
1565	2	1	1	0	24	1692	0	1	1
1566	1	1	1	0	24	1692	0	1	0
1566	2	1	1	0	24	1692	0	1	1
1580	1	1	1	0	16	967	0	1	0
1580	2	1	1	0	16	967	0	1	1
1581	1	1	1	0	16	967	0	1	0
1581	2	1	1	0	16	967	0	1	1
1582	1	1	1	0	16	967	0	1	0
1582	2	1	1	0	16	967	0	1	1
1598	1	1	1	0	16	967	0	1	0
1598	2	1	1	0	16	967	0	1	1
1615	1	1	1	0	20	1335	0	1	0
1615	2	1	1	0	20	1335	0	1	1
1616	1	1	1	0	20	1335	0	1	0
1616	2	1	1	0	20	1335	0	1	1
1617	1	1	1	0	20	1335	0	1	0
1617	2	1	1	0	20	1335	0	1	1
1631	1	1	1	0	20	1335	0	1	0
1631	2	1	1	0	20	1335	0	1	1
1632	1	1	1	0	20	1335	0	1	0
1632	2	1	1	0	20	1335	0	1	1
1646	1	1	1	0	20	1335	0	1	0
1646	2	1	1	0	20	1335	0	1	1
1647	1	1	1	0	28	2292	0	1	0
1647	2	1	1	0	28	2292	0	1	1
1662	1	1	1	0	28	2292	0	1	0
1662	2	1	1	0	28	2292	0	1	1
1663	1	1	1	0	28	2292	0	1	0
1663	2	1	1	0	28	2292	0	1	1
1664	1	1	1	0	28	2292	0	1	0
1664	2	1	1	0	28	2292	0	1	1
1678	1	1	1	0	28	2292	0	1	0
1678	2	1	1	0	28	2292	0	1	1
1694	1	1	1	0	24	1692	0	1	0
1694	2	1	1	0	24	1692	0	1	1
1695	1	1	1	0	24	1692	0	1	0
1695	2	1	1	0	24	1692	0	1	1
1710	1	1	1	0	24	1692	0	1	0
1710	2	1	1	0	24	1692	0	1	1
1712	1	1	1	0	24	1692	0	1	0
1712	2	1	1	0	24	1692	0	1	1
1727	1	1	1	0	8	437	0	1	0
1727	2	1	1	0	8	437	0	1	1
1743	1	1	1	0	8	437	0	1	0
1743	2	1	1	0	8	437	0	1	1
1744	1	1	1	0	8	437	0	1	0
1744	2	1	1	0	8	437	0	1	1
1758	1	1	1	0	8	437	0	1	0
1758	2	1	1	0	8	437	0	1	1
1760	1	1	1	0	8	437	0	1	0
1760	2	1	1	0	8	437	0	1	1
1762	1	1	1	0	8	437	0	1	0
1762	2	1	1	0	8	437	0	1	1
1775	1	1	1	0	16	967	0	1	0
1775	2	1	1	0	16	967	0	1	1
1776	1	1	1	0	16	967	0	1	0
1776	2	1	1	0	16	967	0	1	1
1791	1	1	1	0	16	967	0	1	0
1791	2	1	1	0	16	967	0	1	1
1792	1	1	1	0	16	967	0	1	0
1792	2	1	1	0	16	967	0	1	1
1809	1	1	1	0	22	1431	0	1	0
1809	2	1	1	0	22	1431	0	1	1
1810	1	1	1	0	22	1431	0	1	0
1810	2	1	1	0	22	1431	0	1	1
1811	1	1	1	0	22	1431	0	1	0
1811	2	1	1	0	22	1431	0	1	1
1826	1	1	1	0	22	1431	0	1	0
1826	2	1	1	0	22	1431	0	1	1
1827	1	1	1	0	22	1431	0	1	0
1827	2	1	1	0	22	1431	0	1	1
1842	1	1	1	0	22	1431	0	1	0
1842	2	1	1	0	22	1431	0	1	1
1843	1	1	1	0	22	1431	0	1	0
1843	2	1	1	0	22	1431	0	1	1
1857	1	1	1	0	22	1431	0	1	0
1857	2	1	1	0	22	1431	0	1	1
1858	1	1	1	0	22	1431	0	1	0
1858	2	1	1	0	22	1431	0	1	1
1873	1	1	1	0	22	1431	0	1	0
1873	2	1	1	0	22	1431	0	1	1
1890	1	1	1	0	14	807	0	1	0
1890	2	1	1	0	14	807	0	1	1
1891	1	1	1	0	14	807	0	1	0
1891	2	1	1	0	14	807	0	1	1
1907	1	1	1	0	14	807	0	1	0
1907	2	1	1	0	14	807	0	1	1
1909	1	1	1	0	14	807	0	1	0
1909	2	1	1	0	14	807	0	1	1
1922	1	1	1	0	14	807	0	1	0
1922	2	1	1	0	14	807	0	1	1
1923	1	1	1	0	14	807	0	1	0
1923	2	1	1	0	14	807	0	1	1
1937	1	1	1	0	14	807	0	1	0
1937	2	1	1	0	14	807	0	1	1
1938	1	1	1	0	14	807	0	1	0
1938	2	1	1	0	14	807	0	1	1
1939	1	1	1	0	14	807	0	1	0
1939	2	1	1	0	14	807	0	1	1
1953	1	1	1	0	14	807	0	1	0
1953	2	1	1	0	14	807	0	1	1
1954	1	1	1	0	14	807	0	1	0
1954	2	1	1	0	14	807	0	1	1
1969	1	1	1	0	6	325	0	1	0
1969	2	1	1	0	6	325	0	1	1
1970	1	1	1	0	6	325	0	1	0
1970	2	1	1	0	6	325	0	1	1
1971	1	1	1	0	6	325	0	1	0
