% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	28	2292	0	1	0
115	2	1	1	0	28	2292	0	1	1
134	1	1	1	0	4	225	0	1	0
134	2	1	1	0	4	225	0	1	1
149	1	1	1	0	4	225	0	1	0
149	2	1	1	0	4	225	0	1	1
150	1	1	1	0	4	225	0	1	0
150	2	1	1	0	4	225	0	1	1
151	1	1	1	0	4	225	0	1	0
151	2	1	1	0	4	225	0	1	1
152	1	1	1	0	4	225	0	1	0
152	2	1	1	0	4	225	0	1	1
165	1	1	1	0	4	225	0	1	0
165	2	1	1	0	4	225	0	1	1
166	1	1	1	0	4	225	0	1	0
166	2	1	1	0	4	225	0	1	1
167	1	1	1	0	18	1143	0	1	0
167	2	1	1	0	18	1143	0	1	1
180	1	1	1	0	18	1143	0	1	0
180	2	1	1	0	18	1143	0	1	1
181	1	1	1	0	18	1143	0	1	0
181	2	1	1	0	18	1143	0	1	1
182	1	1	1	0	18	1143	0	1	0
182	2	1	1	0	18	1143	0	1	1
195	1	1	1	0	18	1143	0	1	0
195	2	1	1	0	18	1143	0	1	1
196	1	1	1	0	18	1143	0	1	0
196	2	1	1	0	18	1143	0	1	1
197	1	1	1	0	18	1143	0	1	0
197	2	1	1	0	18	1143	0	1	1
217	1	1	1	0	28	2292	0	1	0
217	2	1	1	0	28	2292	0	1	1
233	1	1	1	0	28	2292	0	1	0
233	2	1	1	0	28	2292	0	1	1
234	1	1	1	0	28	2292	0	1	0
234	2	1	1	0	28	2292	0	1	1
235	1	1	1	0	28	2292	0	1	0
235	2	1	1	0	28	2292	0	1	1
236	1	1	1	0	28	2292	0	1	0
236	2	1	1	0	28	2292	0	1	1
249	1	1	1	0	20	1335	0	1	0
249	2	1	1	0	20	1335	0	1	1
250	1	1	1	0	20	1335	0	1	0
250	2	1	1	0	20	1335	0	1	1
251	1	1	1	0	20	1335	0	1	0
251	2	1	1	0	20	1335	0	1	1
264	1	1	1	0	20	1335	0	1	0
264	2	1	1	0	20	1335	0	1	1
265	1	1	1	0	20	1335	0	1	0
265	2	1	1	0	20	1335	0	1	1
266	1	1	1	0	20	1335	0	1	0
266	2	1	1	0	20	1335	0	1	1
280	1	1	1	0	20	1335	0	1	0
280	2	1	1	0	20	1335	0	1	1
281	1	1	1	0	20	1335	0	1	0
281	2	1	1	0	20	1335	0	1	1
282	1	1	1	0	20	1335	0	1	0
282	2	1	1	0	20	1335	0	1	1
295	1	1	1	0	12	621	0	1	0
295	2	1	1	0	12	621	0	1	1
296	1	1	1	0	12	621	0	1	0
296	2	1	1	0	12	621	0	1	1
297	1	1	1	0	12	621	0	1	0
297	2	1	1	0	12	621	0	1	1
310	1	1	1	0	12	621	0	1	0
310	2	1	1	0	12	621	0	1	1
311	1	1	1	0	12	621	0	1	0
311	2	1	1	0	12	621	0	1	1
326	1	1	1	0	12	621	0	1	0
326	2	1	1	0	12	621	0	1	1
327	1	1	1	0	14	807	0	1	0
327	2	1	1	0	14	807	0	1	1
328	1	1	1	0	14	807	0	1	0
328	2	1	1	0	14	807	0	1	1
341	1	1	1	0	14	807	0	1	0
341	2	1	1	0	14	807	0	1	1
342	1	1	1	0	14	807	0	1	0
342	2	1	1	0	14	807	0	1	1
343	1	1	1	0	14	807	0	1	0
343	2	1	1	0	14	807	0	1	1
357	1	1	1	0	14	807	0	1	0
357	2	1	1	0	14	807	0	1	1
358	1	1	1	0	14	807	0	1	0
358	2	1	1	0	14	807	0	1	1
359	1	1	1	0	14	807	0	1	0
359	2	1	1	0	14	807	0	1	1
373	1	1	1	0	28	2292	0	1	0
373	2	1	1	0	28	2292	0	1	1
374	1	1	1	0	28	2292	0	1	0
374	2	1	1	0	28	2292	0	1	1
375	1	1	1	0	28	2292	0	1	0
375	2	1	1	0	28	2292	0	1	1
389	1	1	1	0	28	2292	0	1	0
389	2	1	1	0	28	2292	0	1	1
390	1	1	1	0	28	2292	0	1	0
390	2	1	1	0	28	2292	0	1	1
404	1	1	1	0	28	2292	0	1	0
404	2	1	1	0	28	2292	0	1	1
405	1	1	1	0	28	2292	0	1	0
405	2	1	1	0	28	2292	0	1	1
419	1	1	1	0	26	1908	0	1	0
419	2	1	1	0	26	1908	0	1	1
420	1	1	1	0	26	1908	0	1	0
420	2	1	1	0	26	1908	0	1	1
434	1	1	1	0	26	1908	0	1	0
434	2	1	1	0	26	1908	0	1	1
435	1	1	1	0	26	1908	0	1	0
435	2	1	1	0	26	1908	0	1	1
436	1	1	1	0	26	1908	0	1	0
436	2	1	1	0	26	1908	0	1	1
449	1	1	1	0	20	1335	0	1	0
449	2	1	1	0	20	1335	0	1	1
450	1	1	1	0	20	1335	0	1	0
450	2	1	1	0	20	1335	0	1	1
451	1	1	1	0	20	1335	0	1	0
451	2	1	1	0	20	1335	0	1	1
464	1	1	1	0	20	1335	0	1	0
464	2	1	1	0	20	1335	0	1	1
465	1	1	1	0	20	1335	0	1	0
465	2	1	1	0	20	1335	0	1	1
466	1	1	1	0	20	1335	0	1	0
466	2	1	1	0	20	1335	0	1	1
479	1	1	1	0	20	1335	0	1	0
479	2	1	1	0	20	1335	0	1	1
480	1	1	1	0	20	1335	0	1	0
480	2	1	1	0	20	1335	0	1	1
1181	1	1	1	0	28	2292	0	1	0
1181	2	1	1	0	28	2292	0	1	1
1201	1	1	1	0	28	2292	0	1	0
1201	2	1	1	0	28	2292	0	1	1
1217	1	1	1	0	10	549	0	1	0
1217	2	1	1	0	10	549	0	1	1
1233	1	1	1	0	10	549	0	1	0
1233	2	1	1	0	10	549	0	1	1
1234	1	1	1	0	10	549	0	1	0
1234	2	1	1	0	10	549	0	1	1
1249	1	1	1	0	14	807	0	1	0
1249	2	1	1	0	14	807	0	1	1
1250	1	1	1	0	14	807	0	1	0
1250	2	1	1	0	14	807	0	1	1
1265	1	1	1	0	14	807	0	1	0
1265	2	1	1	0	14	807	0	1	1
1266	1	1	1	0	14	807	0	1	0
1266	2	1	1	0	14	807	0	1	1
1280	1	1	1	0	14	807	0	1	0
1280	2	1	1	0	14	807	0	1	1
1281	1	1	1	0	14	807	0	1	0
1281	2	1	1	0	14	807	0	1	1
1282	1	1	1	0	14	807	0	1	0
1282	2	1	1	0	14	807	0	1	1
1295	1	1	1	0	20	1335	0	1	0
1295	2	1	1	0	20	1335	0	1	1
1296	1	1	1	0	20	1335	0	1	0
1296	2	1	1	0	20	1335	0	1	1
1297	1	1	1	0	20	1335	0	1	0
1297	2	1	1	0	20	1335	0	1	1
1311	1	1	1	0	20	1335	0	1	0
1311	2	1	1	0	20	1335	0	1	1
1312	1	1	1	0	20	1335	0	1	0
1312	2	1	1	0	20	1335	0	1	1
1326	1	1	1	0	20	1335	0	1	0
1326	2	1	1	0	20	1335	0	1	1
1327	1	1	1	0	22	1431	0	1	0
1327	2	1	1	0	22	1431	0	1	1
1328	1	1	1	0	22	1431	0	1	0
1328	2	1	1	0	22	1431	0	1	1
1341	1	1	1	0	22	1431	0	1	0
1341	2	1	1	0	22	1431	0	1	1
1342	1	1	1	0	22	1431	0	1	0
1342	2	1	1	0	22	1431	0	1	1
1343	1	1	1	0	22	1431	0	1	0
1343	2	1	1	0	22	1431	0	1	1
1344	1	1	1	0	22	1431	0	1	0
1344	2	1	1	0	22	1431	0	1	1
1357	1	1	1	0	22	1431	0	1	0
1357	2	1	1	0	22	1431	0	1	1
1358	1	1	1	0	22	1431	0	1	0
1358	2	1	1	0	22	1431	0	1	1
1372	1	1	1	0	4	225	0	1	0
1372	2	1	1	0	4	225	0	1	1
1373	1	1	1	0	4	225	0	1	0
1373	2	1	1	0	4	225	0	1	1
1387	1	1	1	0	4	225	0	1	0
1387	2	1	1	0	4	225	0	1	1
1389	1	1	1	0	4	225	0	1	0
1389	2	1	1	0	4	225	0	1	1
1402	1	1	1	0	4	225	0	1	0
1402	2	1	1	0	4	225	0	1	1
1403	1	1	1	0	4	225	0	1	0
1403	2	1	1	0	4	225	0	1	1
1418	1	1	1	0	24	1692	0	1	0
1418	2	1	1	0	24	1692	0	1	1
1420	1	1	1	0	24	1692	0	1	0
1420	2	1	1	0	24	1692	0	1	1
1433	1	1	1	0	24	1692	0	1	0
1433	2	1	1	0	24	1692	0	1	1
1434	1	1	1	0	24	1692	0	1	0
1434	2	1	1	0	24	1692	0	1	1
1435	1	1	1	0	24	1692	0	1	0
1435	2	1	1	0	24	1692	0	1	1
1448	1	1	1	0	22	1431	0	1	0
1448	2	1	1	0	22	1431	0	1	1
1449	1	1	1	0	22	1431	0	1	0
1449	2	1	1	0	22	1431	0	1	1
1464	1	1	1	0	22	1431	0	1	0
1464	2	1	1	0	22	1431	0	1	1
1465	1	1	1	0	22	1431	0	1	0
1465	2	1	1	0	22	1431	0	1	1
1480	1	1	1	0	22	1431	0	1	0
