% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	26	1908	0	1	1	0
116	1	1	2	0	28	2292	0	1	1	0
130	1	2	1	0	28	2292	0	1	1	0
132	1	2	1	0	28	1095	0	1	0	0
132	1	1	2	0	28	1095	0	1	1	0
146	1	2	1	0	28	2292	0	1	1	0
148	1	2	1	0	28	1095	0	1	0	0
148	1	1	2	0	28	1095	0	1	1	0
162	1	2	1	0	28	2292	0	1	1	0
164	1	2	1	0	28	1095	0	1	0	0
164	1	1	2	0	28	1095	0	1	1	0
178	1	2	1	0	28	2292	0	1	1	0
179	1	2	1	0	28	1095	0	1	0	0
179	1	1	2	0	28	1095	0	1	1	0
194	1	2	1	0	28	2292	0	1	1	0
195	1	2	1	0	28	1095	0	1	0	0
195	1	1	2	0	28	1095	0	1	1	0
210	1	2	1	0	28	2292	0	1	1	0
211	1	2	1	0	28	1095	0	1	0	0
211	1	1	2	0	28	1095	0	1	1	0
226	1	2	1	0	28	2292	0	1	1	0
228	1	2	1	0	28	1095	0	1	0	0
228	1	1	2	0	28	1095	0	1	1	0
243	1	2	1	0	28	2292	0	1	1	0
246	1	2	1	0	28	1095	0	1	0	0
246	1	1	2	0	28	1095	0	1	1	0
259	1	2	1	0	6	325	0	1	1	0
261	1	1	2	0	28	2292	0	1	1	0
275	1	2	1	0	6	325	0	1	1	0
276	1	2	1	0	6	153	0	1	0	0
276	1	1	2	0	28	1095	0	1	0	0
283	1	1	2	0	28	1095	1	0	1	0
291	1	2	1	0	28	2292	0	1	1	0
307	1	2	1	0	28	1095	0	1	1	0
323	1	2	1	0	28	1095	0	1	1	0
328	1	1	2	0	12	621	0	1	1	0
339	1	2	1	0	22	1431	0	1	1	0
344	1	1	2	0	12	621	0	1	1	0
358	1	2	1	0	22	1431	0	1	1	0
361	1	1	2	0	12	621	0	1	1	0
374	1	2	1	0	28	2292	0	1	1	0
376	1	1	2	0	20	1335	0	1	1	0
390	1	2	1	0	28	2292	0	1	1	0
391	1	1	2	0	20	1335	0	1	1	0
406	1	2	1	0	28	2292	0	1	1	0
407	1	2	1	0	28	1095	0	1	0	0
407	1	1	2	0	20	645	0	1	1	0
422	1	2	1	0	28	1095	0	1	1	0
422	1	1	2	0	28	1095	0	1	1	0
437	1	1	2	0	28	2292	0	1	1	0
438	1	2	1	0	28	1095	0	1	1	0
438	1	1	2	0	28	1095	0	1	0	0
452	1	1	2	0	28	2292	0	1	1	0
454	1	2	1	0	24	1692	0	1	1	0
467	1	1	2	0	28	2292	0	1	1	0
470	1	2	1	0	24	1692	0	1	1	0
482	1	1	2	0	28	2292	0	1	1	0
486	1	2	1	0	24	1692	0	1	1	0
